C:\Users\prora\OneDrive\Documents\GitHub\hugo-translator\scripts\quality\tm_surgical_cleanup.py:382: UserWarning: L2PersistentTM: sibling LMDB directory found alongside canonical 'l2.lmdb': l2_lmdb. This indicates split writes. Run scripts/tm/migrate_l2_lmdb.py to consolidate.
  tm = L2PersistentTM(db_path=tm_path)
TC-TM-02: sibling L2 LMDB dir(s) detected: l2_lmdb (canonical: data\tm\l2.lmdb). Run scripts/tm/migrate_l2_lmdb.py --apply to consolidate.
TM path: data\tm\l2.lmdb
Mode: DRY-RUN
Max changes: 25000

Scanning L2 TM (site=products.aspose.org, locales=ALL)...
  [OVERWRITE] ar    | 'FAQs'                                     -> 'الأسئلة الشائعة' (identifier_translated)
  [OVERWRITE] ms    | 'Content'                                  -> 'kandungan' (identifier_translated)
  [OVERWRITE] nl    | 'Overview'                                 -> 'Overzicht' (identifier_translated)
  [OVERWRITE] nl    | 'SubMenu'                                  -> 'Submenu' (identifier_translated)
  [OVERWRITE] nl    | 'Head'                                     -> 'Hoofd' (identifier_translated)
  [OVERWRITE] nl    | 'Support'                                  -> 'Ondersteuning' (identifier_translated)
  [OVERWRITE] no    | 'Overview'                                 -> 'Overblikk' (identifier_translated)
  [OVERWRITE] no    | 'SubMenu'                                  -> 'Undermeny' (identifier_translated)
  [OVERWRITE] no    | 'Head'                                     -> 'hodet' (identifier_translated)
  [OVERWRITE] no    | 'Support'                                  -> 'Støtte' (identifier_translated)
  [OVERWRITE] no    | 'Content'                                  -> 'Innhold' (identifier_translated)
  [OVERWRITE] pl    | 'Overview'                                 -> 'Przegląd' (identifier_translated)
  [OVERWRITE] pl    | 'SubMenu'                                  -> 'Podmiennik' (identifier_translated)
  [OVERWRITE] pl    | 'Head'                                     -> 'Głowa' (identifier_translated)
  [OVERWRITE] pl    | 'Support'                                  -> 'Wsparcie' (identifier_translated)
  [OVERWRITE] pl    | 'Content'                                  -> 'zawartość' (identifier_translated)
  [OVERWRITE] pt    | 'Overview'                                 -> 'Visão geral' (identifier_translated)
  [OVERWRITE] pt    | 'SubMenu'                                  -> 'Submundo' (identifier_translated)
  [OVERWRITE] pt    | 'Head'                                     -> 'Cabeça' (identifier_translated)
  [OVERWRITE] pt    | 'Support'                                  -> 'Apoio' (identifier_translated)
  [OVERWRITE] pt    | 'Content'                                  -> 'Conteúdo' (identifier_translated)
  [OVERWRITE] ro    | 'Overview'                                 -> 'Prezentare generală' (identifier_translated)
  [OVERWRITE] ro    | 'SubMenu'                                  -> 'Submeniu' (identifier_translated)
  [OVERWRITE] ro    | 'Head'                                     -> 'capului' (identifier_translated)
  [OVERWRITE] ro    | 'Support'                                  -> 'sprijin' (identifier_translated)
  [OVERWRITE] ro    | 'Content'                                  -> 'Conținutul' (identifier_translated)
  [PATCH] ru    | 'content: enable: true block: - title_lef' -> 'содержание: включить: истинный блок: - t' (inline_code_span_translated)
  [OVERWRITE] ru    | 'SubMenu'                                  -> 'Подменю' (identifier_translated)
  [OVERWRITE] ru    | 'Head'                                     -> 'Голова' (identifier_translated)
  [OVERWRITE] ru    | 'Support'                                  -> 'Поддержка' (identifier_translated)
  [OVERWRITE] ru    | 'Content'                                  -> 'контент' (identifier_translated)
  [OVERWRITE] sk    | 'Overview'                                 -> 'Prehľad' (identifier_translated)
  [OVERWRITE] sk    | 'SubMenu'                                  -> 'Podmeny' (identifier_translated)
  [OVERWRITE] sk    | 'Head'                                     -> 'hlavy' (identifier_translated)
  [OVERWRITE] sk    | 'Header'                                   -> 'header' (identifier_translated)
  [OVERWRITE] sk    | 'Support'                                  -> 'Podpora' (identifier_translated)
  [OVERWRITE] sk    | 'Content'                                  -> 'obsah' (identifier_translated)
  [PATCH] sr    | 'content: enable: true block: - title_lef' -> 'садржај: омогући: истински блок: - title' (inline_code_span_translated)
  [OVERWRITE] sr    | 'Overview'                                 -> 'Преглед' (identifier_translated)
  [OVERWRITE] sr    | 'FAQs'                                     -> 'Факс' (identifier_translated)
  [OVERWRITE] sr    | 'SubMenu'                                  -> 'Подмен' (identifier_translated)
  [OVERWRITE] sr    | 'Head'                                     -> 'Глава' (identifier_translated)
  [OVERWRITE] sr    | 'Header'                                   -> 'хејдер' (identifier_translated)
  [OVERWRITE] sr    | 'Support'                                  -> 'подршке' (identifier_translated)
  [OVERWRITE] sr    | 'Content'                                  -> 'контент' (identifier_translated)
  [OVERWRITE] sv    | 'Overview'                                 -> 'Översikt' (identifier_translated)
  [OVERWRITE] sv    | 'SubMenu'                                  -> 'Undermenyn' (identifier_translated)
  [OVERWRITE] sv    | 'Head'                                     -> 'Huvud' (identifier_translated)
  [OVERWRITE] sv    | 'Support'                                  -> 'Stöd' (identifier_translated)
  [OVERWRITE] sv    | 'Content'                                  -> 'innehåll' (identifier_translated)
  [OVERWRITE] th    | 'FAQs'                                     -> 'แพ็คเกจ' (identifier_translated)
  [OVERWRITE] th    | 'SubMenu'                                  -> 'ภาษาไทย' (identifier_translated)
  [OVERWRITE] th    | 'Head'                                     -> 'หัว' (identifier_translated)
  [PATCH] th    | 'single: enable: true block: - title: "Cr' -> 'หนึ่ง: เปิดใช้งาน: บล็อกที่แท้จริง: - ชื' (inline_code_span_translated)
  [OVERWRITE] th    | 'Header'                                   -> 'หัวหน้า' (identifier_translated)
  [OVERWRITE] th    | 'Support'                                  -> 'การสนับสนุน' (identifier_translated)
  [OVERWRITE] th    | 'Content'                                  -> 'เนื้อหา' (identifier_translated)
  [PATCH] th    | 'Aspose.Slides FOSS for Java is a MIT-lic' -> 'Aspose.Slides FOSS สำหรับ Java เป็นไลบรา' (inline_code_span_translated)
  [OVERWRITE] tr    | 'Overview'                                 -> 'Genel Bakış' (identifier_translated)
  [OVERWRITE] tr    | 'FAQs'                                     -> 'FAQS Hakkında' (identifier_translated)
  [OVERWRITE] tr    | 'SubMenu'                                  -> 'Alt Menü' (identifier_translated)
  [OVERWRITE] tr    | 'Head'                                     -> 'Başlık' (identifier_translated)
  [OVERWRITE] tr    | 'Header'                                   -> 'header için' (identifier_translated)
  [OVERWRITE] tr    | 'Support'                                  -> 'Destek' (identifier_translated)
  [OVERWRITE] tr    | 'Content'                                  -> 'İçerik' (identifier_translated)
  [PATCH] uk    | 'content: enable: true block: - title_lef' -> 'вміст: увімкніть: справжній блок: - titl' (inline_code_span_translated)
  [OVERWRITE] uk    | 'FAQs'                                     -> 'FAQ' (identifier_translated)
  [OVERWRITE] uk    | 'SubMenu'                                  -> 'Підменю' (identifier_translated)
  [OVERWRITE] uk    | 'Head'                                     -> 'Голова' (identifier_translated)
  [OVERWRITE] uk    | 'Support'                                  -> 'Підтримка' (identifier_translated)
  [OVERWRITE] uk    | 'Content'                                  -> 'контент' (identifier_translated)

============================================================
SUMMARY
============================================================
Entries scanned:          49,786
Clean entries:            49,596
Corrupt entries found:       190
  identifier_translated:     183
  artifact_in_translation:     0
  heading_term_corrupted:      0
  heading_untranslated_passthrough:   0
  inline_code_span_translated:       7
Planned overwrites:          183
Planned deletes:               0
Planned i18n corrections:      0
Planned inline-code patches:   7

DRY-RUN complete. Run with --apply to fix entries.
