Loaded 1674 candidate files (site=None, family=None)
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\id\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ko\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\lt\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ru\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sr\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\layout.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\id\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\pdf.md -- fixed: [('./pdf', '../pdf')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ru\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\pdfa.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fi\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\rules.md -- fixed: [('./fixes', '../fixes')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fi\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\id\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ru\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\signature.md -- fixed: [('./pkcs7', '../pkcs7')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ca\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\cs\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\el\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\es\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fi\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fr\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ko\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\lt\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\text.md -- fixed: [('./facades', '../facades')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ar\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\bg\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\he\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hu\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ko\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\pt\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ro\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\ru\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\zh\pdf\java\developer-guide\xfa.md -- fixed: [('./forms', '../forms')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\fa\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hi\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\uk\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\vi\slides\cpp\getting-started\quickstart.md -- fixed: [('./installation/', '../installation/'), ('././developer-guide/text-formatting/', '../../developer-guide/text-formatting/'), ('././developer-guide/working-with-shapes/', '../../developer-guide/working-with-shapes/'), ('././developer-guide/visual-effects/', '../../developer-guide/visual-effects/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\hr\slides\java\getting-started\quickstart.md -- fixed: [('./developer-guide/working-with-connectors/', '../developer-guide/working-with-connectors/'), ('./developer-guide/working-with-comments/', '../developer-guide/working-with-comments/'), ('./developer-guide/features/', '../developer-guide/features/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\sv\slides\java\getting-started\quickstart.md -- fixed: [('./developer-guide/working-with-connectors/', '../developer-guide/working-with-connectors/'), ('./developer-guide/working-with-comments/', '../developer-guide/working-with-comments/'), ('./developer-guide/features/', '../developer-guide/features/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\th\slides\java\getting-started\quickstart.md -- fixed: [('./developer-guide/working-with-connectors/', '../developer-guide/working-with-connectors/'), ('./developer-guide/working-with-comments/', '../developer-guide/working-with-comments/'), ('./developer-guide/features/', '../developer-guide/features/')]
  [WRITE] D:\onedrive\Documents\GitHub\aspose.org\content\docs.aspose.org\tr\slides\java\getting-started\quickstart.md -- fixed: [('./developer-guide/working-with-connectors/', '../developer-guide/working-with-connectors/'), ('./developer-guide/working-with-comments/', '../developer-guide/working-with-comments/'), ('./developer-guide/features/', '../developer-guide/features/')]
